ProductName , Type , Capacity , Connectivity , Category  
Seagate Expansion Portable HDD - USB 3.0 for PC Laptop and Mac 1.5 TB Wired External Hard Disk Drive,Portable Hard Drive,Capacity: 1.5 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Seagate Backup Plus Slim 2 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 2 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
WD My Passport 2 TB Wired External Hard Disk Drive,Portable Hard Drive,Capacity: 2 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Seagate 4 TB Wired External Hard Disk Drive,Desktop Hard Drive,Capacity: 4 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
WD Elements 1 TB Wired External Hard Disk Drive,Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Seagate Backup Plus Slim 1 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Seagate Ultra Touch 2 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 2 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Seagate Backup Plus Slim 2 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 2 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Seagate Backup Plus Slim 2 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 2 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Seagate Backup Plus Portable 5 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 5 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Seagate Backup Plus Slim 2 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 2 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Lenovo 2 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 2 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Toshiba Canvio Basics 4 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 4 TB,Connectivity: USB 2.0, USB 3.0,HardDisk,
Samsung T5 500 GB External Solid State Drive,Portable Hard Drive,Capacity: 500 GB,Connectivity: USB 3.1,HardDisk,
Seagate Backup Plus Slim 1 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
WD My Passport 2 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 2 TB,Connectivity: USB 2.0, USB 3.0,HardDisk,
WD My Passport 1 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 2.0, USB 3.0,HardDisk,
Seagate Ultra Touch 2 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 2 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Seagate Backup Plus Portable 4 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 4 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
WD My Passport 4 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 4 TB,Connectivity: USB 2.0, USB 3.0,HardDisk,
Lenovo 1 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Seagate Expansion Portable HDD - USB 3.0 for PC Laptop and Mac 1.5 TB Wired External Hard Disk Drive,Portable Hard Drive,Capacity: 1.5 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Seagate Backup Plus Slim 2 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 2 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
WD My Passport 2 TB Wired External Hard Disk Drive,Portable Hard Drive,Capacity: 2 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Seagate 4 TB Wired External Hard Disk Drive,Desktop Hard Drive,Capacity: 4 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
WD My Passport 2 TB Wired External Hard Disk Drive,Portable Hard Drive,Capacity: 2 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
WD Elements 1 TB Wired External Hard Disk Drive,Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Seagate Ultra Touch 2 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 2 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Seagate Backup Plus Slim 1 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Seagate Backup Plus Slim 2 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 2 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Seagate Backup Plus Slim 2 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 2 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Seagate Backup Plus Portable 5 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 5 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Seagate Backup Plus Slim 2 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 2 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Lenovo 2 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 2 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Seagate Backup Plus Slim 1 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Toshiba Canvio Basics 4 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 4 TB,Connectivity: USB 2.0, USB 3.0,HardDisk,
Samsung T5 500 GB External Solid State Drive,Portable Hard Drive,Capacity: 500 GB,Connectivity: USB 3.1,HardDisk,
WD My Passport 2 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 2 TB,Connectivity: USB 2.0, USB 3.0,HardDisk,
WD My Passport 1 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 2.0, USB 3.0,HardDisk,
Seagate Backup Plus Portable 4 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 4 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Seagate Ultra Touch 2 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 2 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
WD My Passport 4 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 4 TB,Connectivity: USB 2.0, USB 3.0,HardDisk,
Seagate One Touch 1 TB External Solid State Drive,Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 2.0, USB 3.0,HardDisk,
Samsung T5 500 GB External Solid State Drive,Portable Hard Drive,Capacity: 500 GB,Connectivity: USB 3.1,HardDisk,
Seagate Backup Plus Slim 2 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 2 TB,Connectivity: USB 2.0, USB 3.0,HardDisk,
WD My Passport 4 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 4 TB,Connectivity: USB 2.0, USB 3.0,HardDisk,
Samsung T5 1 TB External Solid State Drive,Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 3.1,HardDisk,
Seagate Backup Plus Portable 5 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 5 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Seagate Ultra Touch 1 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Seagate Backup Plus Slim 2 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 2 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Samsung T5 1 TB External Solid State Drive,Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 3.1,HardDisk,
WD Elements 4 TB Wired External Hard Disk Drive,Portable Hard Drive,Capacity: 4 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Seagate Backup Plus Slim 2 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 2 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Seagate One Touch 500 GB External Solid State Drive,Portable Hard Drive,Capacity: 500 GB,Connectivity: USB 2.0, USB 3.0,HardDisk,
WD My Passport 2 TB Wired External Solid State Drive,Portable Hard Drive,Capacity: 2 TB,Connectivity: USB 3.0, USB 3.1, USB 2.0,HardDisk,
Seagate Backup Plus Slim 1 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
SanDisk 1 TB Wired External Solid State Drive,Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 3.1,HardDisk,
WD My Passport Go 500 GB External Solid State Drive,Portable Hard Drive,Capacity: 500 GB,Connectivity: USB 3.0,HardDisk,
WD 1 TB Wired External Hard Disk Drive,Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 3.0,HardDisk,
Seagate Backup Plus Portable 4 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 4 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Seagate Backup Plus Slim 1 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Seagate One Touch 500 GB External Solid State Drive,Portable Hard Drive,Capacity: 500 GB,Connectivity: USB 2.0, USB 3.0,HardDisk,
Samsung T5 500 GB External Solid State Drive,Portable Hard Drive,Capacity: 500 GB,Connectivity: USB 3.1,HardDisk,
Toshiba 2 TB Wired External Hard Disk Drive,Portable Hard Drive,Capacity: 2 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Seagate One Touch 500 GB External Solid State Drive,Portable Hard Drive,Capacity: 500 GB,Connectivity: USB 2.0, USB 3.0,HardDisk,
Seagate Backup Plus Portable 4 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 4 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
ADATA 512 GB External Solid State Drive,Portable Hard Drive,Capacity: 512 GB,Connectivity: USB 3.1,HardDisk,
TCOS Tech Xbox 360 Slim & E 320 GB External Hard Disk Drive,Portable Hard Drive,Capacity: 320 GB,Connectivity: USB 3.0,HardDisk,
Velentron 1 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Transcend 2TB Portable 2 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 2 TB,Connectivity: USB 3.1,HardDisk,
WD Elements 2.5 inch 2 TB External Hard Drive,Portable Hard Drive,Capacity: 2 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Seagate 5 TB Wired External Hard Disk Drive,Portable Hard Drive,Capacity: 5 TB,Connectivity: USB 3.0,HardDisk,
Seagate 10 TB External Hard Disk Drive,Desktop Hard Drive,Capacity: 10 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Velentron 1 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
Transcend StoreJet 25M3 2.5 inch 2 TB External Hard Disk,Portable Hard Drive,Capacity: 2 TB,Connectivity: USB 3.0,HardDisk,
SanDisk 250 GB Wired External Solid State Drive,Portable Hard Drive,Capacity: 250 GB,Connectivity: USB 3.1,HardDisk,
ADATA 512 GB External Solid State Drive,Portable Hard Drive,Capacity: 512 GB,Connectivity: USB 3.1,HardDisk,
Seagate 4 TB Wired External Hard Disk Drive,Desktop Hard Drive,Capacity: 4 TB,Connectivity: USB 3.0,HardDisk,
ADATA 1 TB External Solid State Drive,Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 3.1,HardDisk,
ADATA 1 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 3.1,HardDisk,
Adata DashDrive HD710 2.5 inch 1 TB External Hard Disk,Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 3.0,HardDisk,
WD My Passport Go 1 TB External Solid State Drive,Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 3.0,HardDisk,
Toshiba Canvio Basic 2 TB Wired External Hard Disk Drive,Portable Hard Drive,Capacity: 2 TB,Connectivity: USB 3.0,HardDisk,
WD My Passport 512 GB Wired External Solid State Drive,Portable Hard Drive,Capacity: 512 GB,Connectivity: USB 3.0, USB 3.1, USB 2.0,HardDisk,
Verbatim 2 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 2 TB,Connectivity: USB 3.0,HardDisk,
ADATA HD710 Pro 1 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 2.0,HardDisk,
WESTERN DIGITAL 1 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 3.0,HardDisk,
Adata DashDrive HD710 2.5 inch 1 TB External Hard Disk,Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 3.0,HardDisk,
Adata DashDrive HD710 2.5 inch 1 TB External Hard Disk,Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 3.0,HardDisk,
Sony 128 GB Wired External Solid State Drive,Portable Hard Drive,Capacity: 128 GB,Connectivity: USB 3.0,HardDisk,
TUCCI 3 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 3 TB,Connectivity: USB 2.0,HardDisk,
ADATA HD720 1 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 3.0,HardDisk,
TUCCI 1.5 TB External Solid State Drive,Portable Hard Drive,Capacity: 1.5 TB,Connectivity: USB 2.0,HardDisk,
Seagate Backup Plus Portable 4 TB External Hard Disk Drive,Portable Hard Drive,Capacity: 4 TB,Connectivity: USB 3.0, USB 2.0,HardDisk,
WD 6 TB Wired External Hard Disk Drive,Desktop Hard Drive,Capacity: 6 TB,Connectivity: USB 3.0,HardDisk,
Toshiba Canvio Basic 1 TB External Hard Disk,Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 3.0,HardDisk,
WD My Passport 1 TB Wired External Solid State Drive,Portable Hard Drive,Capacity: 1 TB,Connectivity: USB 3.0, USB 3.1, USB 2.0,HardDisk,
